date,type,from_account,to_account,amount,memo,entry_via
2026-01-31,신용이자,국장,,2034300,2026-01 증권사 신용이자,sheet
2026-02-28,신용이자,국장,,1255350,2026-02 증권사 신용이자,sheet
2026-03-31,신용이자,국장,,2720632,2026-03 증권사 신용이자,sheet
2026-04-30,신용이자,국장,,3178286,2026-04 증권사 신용이자,sheet
2026-05-31,신용이자,국장,,2845377,2026-05 증권사 신용이자,sheet
2026-06-30,신용이자,국장,,2766879,2026-06 증권사 신용이자,sheet
2026-07-31,신용이자,국장,,4024928,2026-07 증권사 신용이자,sheet
2026-08-13,신용이자,국장,,1467766,2026-08 증권사 신용이자,sheet
2025-04-17,강의구독비,,,180000,서재형 매매관리 첫걸음,sheet
2025-05-13,강의구독비,,,280000,서재형 여름학기,sheet
2025-07-04,강의구독비,,,1320000,DS 가입비&구독,sheet
2025-08-04,강의구독비,,,280000,서재형 가을학기,sheet
2025-08-30,강의구독비,,,45000,올랜도킴(1회차),sheet
2025-09-02,강의구독비,,,20000,표상록(1회차),sheet
2025-10-01,강의구독비,,,20000,올랜도킴(2회차),sheet
2025-10-02,강의구독비,,,20000,표상록(2회차),sheet
2025-10-02,강의구독비,,,330000,DS 구독 2회차,sheet
2025-11-01,강의구독비,,,100000,김기훈 구독(1회차),sheet
2025-11-12,강의구독비,,,33000,이해진 뉴스레터(11월),sheet
2025-11-13,강의구독비,,,280000,서재형 겨울학기,sheet
2025-12-01,강의구독비,,,100000,김기훈 구독(2회차),sheet
2025-12-12,강의구독비,,,33000,이해진 뉴스레터(12월),sheet
2025-12-31,강의구독비,,,100000,김기훈 구독(3회차/1월),sheet
2026-01-12,강의구독비,,,33000,이해진 뉴스레터(1월),sheet
2026-01-30,강의구독비,,,100000,김기훈 구독,sheet
2026-02-11,강의구독비,,,280000,서재형 봄학기,sheet
2026-02-19,강의구독비,,,270000,김기훈 2-4월 구독,sheet
2026-05-04,강의구독비,,,280000,서재형 여름학기 5-7월,sheet
2026-05-19,강의구독비,,,270000,김기훈 5-7월 구독,sheet
2026-08-02,강의구독비,,,280000,서재형 여름학기 8-10월,sheet
2026-01-30,수수료,국장,,48666,2026-01 거래수수료(월말),sheet
2026-01-30,매도세금,국장,,1425393,2026-01 증권거래세(월말),sheet
2026-02-27,수수료,국장,,27859,2026-02 거래수수료(월말),sheet
2026-02-27,매도세금,국장,,858179,2026-02 증권거래세(월말),sheet
2026-03-31,수수료,국장,,60653,2026-03 거래수수료(월말),sheet
2026-03-31,매도세금,국장,,1795052,2026-03 증권거래세(월말),sheet
2026-04-30,수수료,국장,,89551,2026-04 거래수수료(월말),sheet
2026-04-30,매도세금,국장,,3031492,2026-04 증권거래세(월말),sheet
2026-04-30,배당금,,국장,1855370,2026-04 배당금 수령(월말),sheet
2026-05-29,수수료,국장,,78006,2026-05 거래수수료(월말),sheet
2026-05-29,매도세금,국장,,2374815,2026-05 증권거래세(월말),sheet
2026-05-29,배당금,,국장,346200,2026-05 배당금 수령(월말),sheet
2026-06-30,수수료,국장,,152382,2026-06 거래수수료(월말),sheet
2026-06-30,매도세금,국장,,2868220,2026-06 증권거래세(월말),sheet
2026-06-30,배당금,,국장,143820,2026-06 배당금 수령(월말),sheet
2026-07-31,수수료,국장,,132444,2026-07 거래수수료(월말),sheet
2026-07-31,매도세금,국장,,2534491,2026-07 증권거래세(월말),sheet
2026-08-25,외부출금,국장,,10000000,전세보증금 목적 예금계좌로 천만원 출금,chat
2026-08-25,외부출금,미장,,10000000,전세보증금 목적 예금계좌로 천만원 출금. 매도담보대출(해외주식매도담보대출) 실행하여 조달한 자금 — 미장 계좌에 상환 의무 있는 부채로 남음(매도 정산 시 자동 매도상환됨),chat
