account,ticker,start,end
국장,삼성전자,2025-11-25,2026-06-09
국장,삼성전자,2026-06-10,
국장,삼성증권,2026-05-26,2026-07-10
국장,삼성화재,2025-09-26,
국장,삼양식품,2025-12-11,2026-01-29
국장,삼양식품,2026-02-02,2026-04-02
국장,삼양식품,2026-04-02,2026-04-06
국장,삼양식품,2026-04-06,
국장,서부T&D,2026-01-07,2026-01-23
국장,서부T&D,2026-01-28,2026-02-03
국장,서부T&D,2026-02-03,2026-02-04
국장,서부T&D,2026-02-05,2026-02-09
국장,서부T&D,2026-02-12,2026-02-13
국장,서부T&D,2026-02-24,2026-03-06
국장,서부T&D,2026-03-23,2026-04-07
국장,서부T&D,2026-06-15,2026-06-17
국장,알테오젠,2025-02-03,
국장,에스티팜,2026-01-27,2026-01-28
국장,에스피지,2025-01-02,
국장,에이비엘바이오,2025-02-05,
국장,에이프릴바이오,2026-01-30,2026-02-06
국장,에이피알,2026-01-19,2026-01-20
국장,에이피알,2026-06-01,2026-06-05
국장,오름테라퓨틱,2026-01-05,2026-01-06
국장,오름테라퓨틱,2026-01-16,2026-01-30
국장,올릭스,2025-11-18,2026-03-06
국장,올릭스,2026-03-11,2026-04-22
국장,인벤티지랩,2025-01-03,
국장,일동제약,2026-01-29,2026-01-30
국장,지투지바이오,2026-01-29,2026-01-30
국장,티에스이,2026-01-07,2026-01-14
국장,펩트론,2025-12-30,2026-01-05
국장,펩트론,2026-01-12,2026-01-14
국장,퓨쳐켐,2025-01-17,
국장,하이브,2025-11-18,2026-01-05
국장,하이브,2026-01-06,2026-02-04
국장,하이브,2026-02-05,2026-03-24
국장,하이브,2026-03-25,
국장,한국금융지주,2026-02-25,2026-05-06
국장,한국전력,2026-02-06,2026-02-06
국장,한국전력,2026-03-16,2026-04-06
국장,한국전력,2026-04-17,2026-04-27
국장,한국전력,2026-05-07,2026-05-26
국장,한국전력,2026-06-16,2026-06-16
국장,한국전력,2026-06-17,2026-07-30
국장,한국항공우주,2026-01-06,2026-01-09
국장,한국항공우주,2026-01-28,2026-02-05
국장,한국항공우주,2026-02-09,2026-03-06
국장,한국항공우주,2026-03-11,2026-04-08
국장,한국항공우주,2026-04-08,2026-04-10
국장,한투 일본종합상사TOP5 ETN,2026-01-15,2026-01-30
국장,한화에어로스페이스,2025-11-19,2026-01-16
국장,한화에어로스페이스,2026-01-16,2026-01-28
국장,한화에어로스페이스,2026-01-28,2026-03-09
국장,한화에어로스페이스,2026-03-09,2026-03-09
국장,한화에어로스페이스,2026-03-11,2026-04-23
국장,한화에어로스페이스,2026-04-23,2026-07-06
국장,한화에어로스페이스,2026-07-06,
국장,한화엔진,2025-01-02,
국장,한화오션,2026-01-12,2026-01-16
국장,현대건설,2025-12-15,2026-01-14
국장,현대모비스,2026-02-25,
국장,현대차,2026-01-27,2026-03-06
국장,현대차,2026-03-11,2026-06-04
미장,AST 스페이스모바일,2026-01-23,2026-01-28
미장,AST 스페이스모바일,2026-01-29,2026-02-19
미장,AST 스페이스모바일,2026-02-23,2026-03-02
미장,AST 스페이스모바일,2026-03-02,2026-04-16
미장,GE 버노바,2026-03-27,2026-04-09
미장,GE 버노바,2026-04-29,2026-06-01
미장,GE 버노바,2026-06-03,2026-06-09
미장,GE 버노바,2026-06-11,2026-06-11
미장,GE 버노바,2026-06-17,2026-07-09
미장,GE 버노바,2026-07-28,
미장,L3 해리스 테크놀러지스,2026-01-28,2026-01-28
미장,L3 해리스 테크놀러지스,2026-01-29,2026-02-04
미장,MP 머터리얼즈,2025-08-06,
미장,SPDR 금 미니셰어즈 ETF,2025-07-04,
미장,TRADR 2X LONG CRDO DAILY ETF,2026-03-10,
미장,TRADR AAOI 2배 ETF,2026-04-16,2026-05-01
미장,TRADR AAOI 2배 ETF,2026-05-28,2026-06-08
미장,TRADR AST 스페이스모바일 2배 ETF,2026-02-16,2026-02-16
미장,TRADR AST 스페이스모바일 2배 ETF,2026-03-02,2026-03-02
미장,TRADR AST 스페이스모바일 2배 ETF,2026-04-16,2026-04-22
미장,TRADR AST 스페이스모바일 2배 ETF,2026-04-22,2026-05-18
미장,TRADR GE 버노바 2배 ETF,2026-05-19,
미장,TRADR 루멘텀 홀딩스 2배 ETF,2026-03-02,2026-03-02
미장,TRADR 루멘텀 홀딩스 2배 ETF,2026-05-28,2026-06-03
미장,TRADR 루멘텀 홀딩스 2배 ETF,2026-06-05,2026-06-08
미장,TRADR 블룸 에너지 2배 ETF,2026-07-09,2026-07-31
미장,TRADR 샌디스크 2배 ETF,2026-02-18,
미장,TRADR 앱러빈 2배 ETF,2026-02-16,2026-02-18
미장,TRADR 크레도 테크놀로지 2배 ETF,2026-03-11,
미장,TSMC(타이완반도체제조),2025-10-22,
미장,그래닛셰어즈 MRVL 데일리 2배 ETF,2026-04-29,2026-05-18
미장,그래닛셰어즈 MRVL 데일리 2배 ETF,2026-05-19,2026-05-22
미장,그래닛셰어즈 MRVL 데일리 2배 ETF,2026-05-28,2026-06-17
미장,그래닛셰어즈 MRVL 데일리 2배 ETF,2026-07-08,2026-07-31
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2025-12-01,2026-01-28
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2026-02-09,2026-02-10
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2026-02-19,2026-02-20
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2026-02-25,2026-05-14
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2026-05-19,2026-05-22
미장,그래닛셰어즈 엔비디아 데일리 2배 ETF,2026-05-25,
미장,그래닛셰어즈 인텔 데일리 2배 ETF,2026-04-09,2026-06-17
미장,그래닛셰어즈 인텔 데일리 2배 ETF,2026-07-08,2026-07-31
미장,노스롭 그루만,2026-02-25,2026-02-26
미장,데이터도그,2026-02-12,2026-02-12
미장,델타 에어라인스,2026-06-29,2026-06-29
미장,델타 에어라인스,2026-07-14,2026-07-15
미장,디렉시온 마이크로소프트 2배 ETF,2025-11-18,
미장,디렉시온 마이크론 테크놀로지 2배 ETF,2025-12-16,2026-01-12
미장,디렉시온 마이크론 테크놀로지 2배 ETF,2026-06-10,2026-06-17
미장,디렉시온 마이크론 테크놀로지 2배 ETF,2026-07-08,
미장,디렉시온 메타 2배 ETF,2025-11-13,
미장,디렉시온 반도체 3배 ETF,2026-08-14,2026-08-18
미장,디렉시온 반도체 3배 ETF,2026-08-18,
미장,디렉시온 브로드컴 2배 ETF,2025-12-16,2026-01-30
미장,디렉시온 브로드컴 2배 ETF,2026-04-09,2026-04-29
미장,디렉시온 브로드컴 2배 ETF,2026-05-25,2026-06-01
미장,디렉시온 아마존 2배 ETF,2026-04-28,2026-04-28
미장,디렉시온 아마존 2배 ETF,2026-05-19,2026-06-01
미장,디렉시온 아마존 2배 ETF,2026-06-01,2026-06-10
미장,디렉시온 알파벳 A 2배 ETF,2025-12-22,2026-01-28
미장,디렉시온 알파벳 A 2배 ETF,2026-02-09,2026-02-09
미장,디렉시온 알파벳 A 2배 ETF,2026-02-16,2026-02-16
미장,디렉시온 알파벳 A 2배 ETF,2026-02-19,2026-02-20
미장,디렉시온 알파벳 A 2배 ETF,2026-03-02,2026-03-11
미장,디렉시온 알파벳 A 2배 ETF,2026-03-11,2026-03-12
미장,디렉시온 알파벳 A 2배 ETF,2026-04-28,2026-04-28
미장,디렉시온 알파벳 A 2배 ETF,2026-05-20,2026-06-01
미장,디렉시온 알파벳 A 2배 ETF,2026-06-01,2026-06-10
미장,디렉시온 타이완반도체 2배 ETF,2025-12-22,2026-01-28
미장,디렉시온 타이완반도체 2배 ETF,2026-03-02,2026-05-14
미장,디렉시온 타이완반도체 2배 ETF,2026-05-19,2026-06-01
미장,디렉시온 팔란티어 2배 ETF,2026-02-04,2026-02-04
미장,디렉시온 팔란티어 2배 ETF,2026-04-14,2026-04-20
미장,디파이언스 양자컴퓨터 ETF,2025-05-12,
미장,레버리지셰어즈 ARM 2배 ETF,2026-04-09,2026-04-13
미장,레버리지셰어즈 ARM 2배 ETF,2026-05-29,2026-06-01
미장,레버리지셰어즈 ARM 2배 ETF,2026-06-03,2026-06-05
미장,레버리지셰어즈 ARM 2배 ETF,2026-06-05,2026-06-17
미장,레버리지셰어즈 ARM 2배 ETF,2026-07-08,2026-07-31
미장,레버리지셰어즈 GE버노바 2배 ETF,2026-07-09,2026-07-15
미장,레버리지셰어즈 블룸에너지 2배 ETF,2026-03-02,2026-03-02
미장,레버리지셰어즈 블룸에너지 2배 ETF,2026-05-19,2026-05-28
미장,레버리지셰어즈 블룸에너지 2배 ETF,2026-06-01,2026-06-17
미장,레버리지셰어즈 테라다인 2배 ETF,2026-03-02,2026-03-02
미장,로블록스,2026-01-14,2026-01-22
미장,로빈후드,2025-12-24,2026-01-22
미장,로빈후드,2026-04-16,2026-04-22
미장,로켓 랩,2026-01-29,2026-02-04
미장,로켓 컴퍼니스,2026-06-17,2026-06-19
미장,로켓 컴퍼니스,2026-06-29,2026-06-29
미장,로켓 컴퍼니스,2026-07-01,2026-07-08
미장,로켓 컴퍼니스,2026-07-14,2026-07-15
미장,루멘텀 홀딩스,2026-02-11,2026-02-16
미장,루멘텀 홀딩스,2026-02-18,2026-02-19
미장,루멘텀 홀딩스,2026-02-24,2026-03-02
미장,루멘텀 홀딩스,2026-03-02,2026-03-10
미장,루멘텀 홀딩스,2026-04-02,2026-04-09
미장,루멘텀 홀딩스,2026-04-29,2026-05-04
미장,마벨 테크놀로지 그룹,2026-05-13,2026-06-01
미장,마벨 테크놀로지 그룹,2026-06-03,2026-07-20
미장,마벨 테크놀로지 그룹,2026-08-05,2026-08-10
미장,마벨 테크놀로지 그룹,2026-08-13,2026-08-14
미장,마벨 테크놀로지 그룹,2026-08-18,
미장,마이크로소프트,2025-10-23,
미장,마이크론 테크놀로지,2026-06-10,2026-07-09
미장,메타,2025-10-23,
미장,바이킹 홀딩스,2026-07-14,2026-07-15
미장,발레로 에너지,2026-05-04,2026-05-07
미장,버티브 홀딩스,2025-12-24,2026-01-22
미장,벤처 글로벌,2026-04-24,2026-04-24
미장,벤처 글로벌,2026-04-27,2026-04-29
미장,브로드컴,2025-11-18,
미장,블룸 에너지,2026-01-16,2026-01-22
미장,블룸 에너지,2026-01-28,2026-02-19
미장,블룸 에너지,2026-02-23,2026-04-20
미장,블룸 에너지,2026-05-18,2026-05-21
미장,블룸 에너지,2026-05-22,2026-06-01
미장,블룸 에너지,2026-06-08,2026-07-09
미장,비트코인 전략 2배 ETF,2025-08-01,
미장,사우스웨스트 에어라인스,2026-03-16,2026-04-02
미장,삼성전자,2026-03-06,2026-03-09
미장,샌디스크,2025-12-24,2026-01-12
미장,샌디스크,2026-02-04,2026-02-18
미장,샌디스크,2026-03-26,2026-03-27
미장,샌디스크,2026-05-13,2026-05-21
미장,샌디스크,2026-06-03,2026-07-09
미장,샌디스크,2026-08-18,2026-08-18
미장,샤오펑 ADR,2025-12-24,2026-01-19
미장,센트러스 에너지,2025-12-24,2026-01-23
미장,센트러스 에너지,2026-01-23,2026-02-19
미장,센트러스 에너지,2026-03-11,2026-03-12
미장,센트러스 에너지,2026-04-24,2026-04-24
미장,스페이스X,2026-06-16,2026-06-16
미장,스페이스X,2026-06-19,2026-06-19
미장,스페이스X,2026-06-19,2026-07-03
미장,스포티파이 테크놀러지,2025-11-03,
미장,아마존닷컴,2026-05-08,2026-06-01
미장,아마존닷컴,2026-08-10,2026-08-13
미장,아이렌,2026-01-12,2026-01-12
미장,아이렌,2026-01-28,2026-02-04
미장,아이셰어즈 0-3개월 미국 국채 ETF,2026-07-17,2026-07-20
미장,아이셰어즈 1-3년 미국 국채 ETF,2025-07-03,
미장,아이셰어즈 20+년 미국 국채 ETF,2025-07-16,
미장,아이셰어즈 7-10년 미국 국채 ETF,2025-07-03,
미장,아처 에비에이션,2025-05-08,
미장,알리바바 그룹 홀딩 ADR,2025-10-22,
미장,알몬티 인더스트리스,2026-05-11,2026-05-14
미장,알몬티 인더스트리스,2026-05-18,2026-06-03
미장,알파벳 Class A,2025-10-23,
미장,암 홀딩스 ADR,2026-03-27,2026-04-09
미장,암 홀딩스 ADR,2026-05-12,2026-05-13
미장,암 홀딩스 ADR,2026-05-25,2026-06-11
미장,암 홀딩스 ADR,2026-06-11,2026-06-11
미장,암 홀딩스 ADR,2026-06-15,2026-07-09
미장,앱러빈,2026-01-06,2026-01-07
미장,앱러빈,2026-01-16,2026-01-19
미장,앱러빈,2026-02-12,2026-02-19
미장,어플라이드 옵토일렉트로닉스,2026-04-13,2026-04-14
미장,어플라이드 옵토일렉트로닉스,2026-05-01,2026-05-04
미장,어플라이드 옵토일렉트로닉스,2026-05-12,2026-05-13
미장,어플라이드 옵토일렉트로닉스,2026-05-27,2026-06-01
미장,에머슨 일렉트릭,2026-01-22,2026-01-22
미장,에머슨 일렉트릭,2026-01-28,2026-01-29
미장,에머슨 일렉트릭,2026-02-11,2026-02-11
미장,엔비디아,2025-06-25,
미장,오라클,2026-01-06,2026-01-07
미장,오라클,2026-03-12,2026-03-27
미장,오클로,2026-01-06,2026-01-07
미장,온 홀딩,2026-01-12,2026-01-12
미장,온 홀딩,2026-02-04,2026-02-12
미장,웨스턴 디지털,2025-12-24,2026-01-12
미장,이튼,2025-07-29,
미장,인텔,2026-05-13,2026-05-21
미장,인텔,2026-06-03,2026-07-09
미장,일라이 릴리,2025-05-16,
미장,코히런트,2025-12-24,2026-01-22
미장,코히런트,2026-03-11,2026-03-16
미장,크레도 테크놀로지 그룹 홀딩,2025-12-24,2026-01-22
미장,클라우드플레어,2026-02-12,2026-02-13
미장,테라다인,2026-02-11,2026-02-16
미장,테라다인,2026-02-18,2026-02-19
미장,테라다인,2026-02-23,2026-03-10
미장,테라다인,2026-03-20,2026-03-30
미장,테슬라,2025-11-26,2026-02-02
미장,테슬라,2026-02-04,
미장,템퍼스 AI,2025-06-04,
미장,티렉스 로빈후드 타겟 2배 ETF,2026-04-20,2026-05-14
미장,팔란티어 테크놀로지스,2025-05-14,2026-01-14
미장,팔란티어 테크놀로지스,2026-01-14,
미장,퍼스트 머제스틱 실버,2026-01-29,2026-02-04
미장,허드베이 미네랄,2026-01-29,2026-02-04
미장,헌팅턴 잉걸스 인더스트리즈,2026-01-16,2026-01-22
미장,헌팅턴 잉걸스 인더스트리즈,2026-01-23,2026-02-18
